Tissue block Dimensions:
  1.000000000000000E-002  2.000000000000000E-002  8.000000000000000E-002
Number of vessel segments:  
      2035

********************************************************************************  
  X1-coordinate	 	Y1-coordinate		Z1-coordinate
  X2-coordinate	 	Y2-coordinate		Z2-coordinate
  Radius		Index (0 for inflow segment, -1 for outflow segment)
  Number of parent vessels	Id of parent vessel 1	Id of parent vessel 2	

********************************************************************************

  0.000000000000000E+000  4.000067433808030E-003  3.460000000000001E-002
  4.829935101713024E-004  4.030202693147679E-003  3.475590127308172E-002
  4.500000000000000E-004           0
           0           0           0
  4.829935101713024E-004  4.030202693147679E-003  3.475590127308172E-002
  8.064088596060914E-004  4.019171669138209E-003  3.484103941282525E-002
  4.500000000000000E-004           1
           1           1           0
  8.064088596060914E-004  4.019171669138209E-003  3.484103941282525E-002
  1.420398322362638E-003  4.015462284491147E-003  3.498126879094793E-002
  4.500000000000000E-004           1
           1           2           0
  1.420398322362638E-003  4.015462284491147E-003  3.498126879094793E-002
  1.982090446065222E-003  4.041501276130555E-003  3.509865170750931E-002
  4.500000000000000E-004           1
           1           3           0
  1.982090446065222E-003  4.041501276130555E-003  3.509865170750931E-002
  2.338086669351015E-003  4.070693153525094E-003  3.520830360662225E-002
  4.500000000000000E-004           1
           1           4           0
  2.338086669351015E-003  4.070693153525094E-003  3.520830360662225E-002
  2.824673219595418E-003  4.140201607123111E-003  3.537007783521594E-002
  4.500000000000000E-004           1
           1           5           0
  2.824673219595418E-003  4.140201607123111E-003  3.537007783521594E-002
  3.306677727404366E-003  4.139911837852519E-003  3.548153911178873E-002
  4.500000000000000E-004           1
           1           6           0
  3.306677727404366E-003  4.139911837852519E-003  3.548153911178873E-002
  3.820100461980375E-003  4.175211709325766E-003  3.569908867606407E-002
  4.500000000000000E-004           1
           1           7           0
  3.820100461980375E-003  4.175211709325766E-003  3.569908867606407E-002
  4.307693378165222E-003  4.161683001430557E-003  3.591897758006795E-002
  4.500000000000000E-004           1
           1           8           0
  4.307693378165222E-003  4.161683001430557E-003  3.591897758006795E-002
  4.818631086879703E-003  4.161085615149273E-003  3.616673318531771E-002
  4.500000000000000E-004           1
           1           9           0
  4.818631086879703E-003  4.161085615149273E-003  3.616673318531771E-002
  5.417071084267027E-003  4.161931287120995E-003  3.634535596836863E-002
  4.500000000000000E-004           1
           1          10           0
  5.417071084267027E-003  4.161931287120995E-003  3.634535596836863E-002
  5.920914048664697E-003  4.210909739123149E-003  3.657226719064958E-002
  4.500000000000000E-004           1
           1          11           0
  5.920914048664697E-003  4.210909739123149E-003  3.657226719064958E-002
  6.391145439674680E-003  4.240150469695288E-003  3.669319090404267E-002
  4.500000000000000E-004           1
           1          12           0
  6.391145439674680E-003  4.240150469695288E-003  3.669319090404267E-002
  6.878103075305979E-003  4.253376421040565E-003  3.692946241974514E-002
  4.500000000000000E-004           1
           1          13           0
  6.878103075305979E-003  4.253376421040565E-003  3.692946241974514E-002
  7.331014512307482E-003  4.272614622592281E-003  3.721409909745287E-002
  4.500000000000000E-004           1
           1          14           0
  7.331014512307482E-003  4.272614622592281E-003  3.721409909745287E-002
  7.985667618823083E-003  4.261800516881887E-003  3.740960513108242E-002
  4.500000000000000E-004           1
           1          15           0
  7.985667618823083E-003  4.261800516881887E-003  3.740960513108242E-002
  8.343926647605341E-003  4.240197236999029E-003  3.760844922463118E-002
  4.500000000000000E-004           1
           1          16           0
  0.000000000000000E+000  4.942394326414165E-003  3.370000000000000E-002
  4.122313107886497E-004  4.923592784574066E-003  3.374347018319306E-002
  4.500000000000000E-004           0
           0           0           0
  4.122313107886497E-004  4.923592784574066E-003  3.374347018319306E-002
  8.015389071784629E-004  4.921298576398426E-003  3.363521849630709E-002
  4.500000000000000E-004           1
           1          18           0
